reconciliation_key,candidate_key,official_program_key,official_program_type,official_program_name,identifier_type,identifier_value,identifier_source,source_program_specialty,source_program_name,source_city,candidate_status,reconciliation_status,recommended_action,reconciliation_confidence,rank_in_official_program,candidate_count_for_program,close_candidate_count,rationale,evidence_json,reconciled_at
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_78f9f9486df74da5,program_identifier_candidate_hup-gme-residency-internal-medicine-dermatology-_76f67c7174f5e62b,hup_gme_residency_internal-medicine-dermatology_015c313980a7,residency,Internal Medicine - Dermatology,acgme_program_code,1404111377,acgme_public_program_search,Internal medicine,Presbyterian Medical Center of the University of Pennsylvania Health System Program,Philadelphia,ambiguous_acgme_identifier_candidate,manual_review_required_ambiguous_identifier,review_duplicate_facility_or_track_specific_acgme_rows,0.68,1,3,2,"ACGME candidate is ambiguous because duplicate facility, track, or broad specialty rows compete.","{""candidate_count_for_program"": 3, ""candidate_evidence"": {""acgme_data_item_key"": ""1219"", ""acgme_status_cell"": "",5,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program""}, ""close_candidate_count"": 2, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.8}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_014ab57f82b88717,program_identifier_candidate_hup-gme-residency-internal-medicine-dermatology-_48e120f9ef6cb681,hup_gme_residency_internal-medicine-dermatology_015c313980a7,residency,Internal Medicine - Dermatology,acgme_program_code,1404121380,acgme_public_program_search,Internal medicine,University of Pennsylvania Health System Program,Philadelphia,ambiguous_acgme_identifier_candidate,manual_review_required_ambiguous_identifier,review_duplicate_facility_or_track_specific_acgme_rows,0.68,2,3,2,"ACGME candidate is ambiguous because duplicate facility, track, or broad specialty rows compete.","{""candidate_count_for_program"": 3, ""candidate_evidence"": {""acgme_data_item_key"": ""1232"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program""}, ""close_candidate_count"": 2, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.8}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_89f0bb4a7a46c569,program_identifier_candidate_hup-gme-residency-internal-medicine-dermatology-_8c1e713450ed0839,hup_gme_residency_internal-medicine-dermatology_015c313980a7,residency,Internal Medicine - Dermatology,acgme_program_code,1404111376,acgme_public_program_search,Internal medicine,University of Pennsylvania Health System/Pennsylvania Hospital Program,Philadelphia,review_acgme_identifier_candidate,review_affiliate_or_specialty_alias_identifier,review_affiliate_specialty_alias_or_chop_context_before_accepting,0.62,3,3,2,Candidate has useful ACGME evidence but needs source review before accepted identifier use.,"{""candidate_count_for_program"": 3, ""candidate_evidence"": {""acgme_data_item_key"": ""1218"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-dermatology-program""}, ""close_candidate_count"": 2, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_mentions_university_of_pennsylvania"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.8}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_a89c92bcdc3025f9,program_identifier_candidate_hup-gme-residency-internal-medicine-pediatrics-f_7cbb9abc6d9cb6f7,hup_gme_residency_internal-medicine-pediatrics_f13d195cb767,residency,Internal Medicine - Pediatrics,acgme_program_code,7004114129,acgme_public_program_search,Internal medicine/Pediatrics,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,4,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 4, ""candidate_evidence"": {""acgme_data_item_key"": ""8431"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-pediatrics-program""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_d664f6705df7a11e,program_identifier_candidate_hup-gme-residency-internal-medicine-pediatrics-f_1bf32cf7d5058d53,hup_gme_residency_internal-medicine-pediatrics_f13d195cb767,residency,Internal Medicine - Pediatrics,acgme_program_code,1404111377,acgme_public_program_search,Internal medicine,Presbyterian Medical Center of the University of Pennsylvania Health System Program,Philadelphia,review_acgme_identifier_candidate,review_affiliate_or_specialty_alias_identifier,review_affiliate_specialty_alias_or_chop_context_before_accepting,0.62,2,4,1,Candidate has useful ACGME evidence but needs source review before accepted identifier use.,"{""candidate_count_for_program"": 4, ""candidate_evidence"": {""acgme_data_item_key"": ""1219"", ""acgme_status_cell"": "",5,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-pediatrics-program""}, ""close_candidate_count"": 1, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_e56ddbd6e7f3b99d,program_identifier_candidate_hup-gme-residency-internal-medicine-pediatrics-f_1cf359ff7030a0c7,hup_gme_residency_internal-medicine-pediatrics_f13d195cb767,residency,Internal Medicine - Pediatrics,acgme_program_code,1404121380,acgme_public_program_search,Internal medicine,University of Pennsylvania Health System Program,Philadelphia,review_acgme_identifier_candidate,review_affiliate_or_specialty_alias_identifier,review_affiliate_specialty_alias_or_chop_context_before_accepting,0.62,3,4,1,Candidate has useful ACGME evidence but needs source review before accepted identifier use.,"{""candidate_count_for_program"": 4, ""candidate_evidence"": {""acgme_data_item_key"": ""1232"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-pediatrics-program""}, ""close_candidate_count"": 1, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-residency-i_349502831aa0a9f8,program_identifier_candidate_hup-gme-residency-internal-medicine-pediatrics-f_ed4d647813de5e72,hup_gme_residency_internal-medicine-pediatrics_f13d195cb767,residency,Internal Medicine - Pediatrics,acgme_program_code,1404111376,acgme_public_program_search,Internal medicine,University of Pennsylvania Health System/Pennsylvania Hospital Program,Philadelphia,review_acgme_identifier_candidate,review_affiliate_or_specialty_alias_identifier,review_affiliate_specialty_alias_or_chop_context_before_accepting,0.62,4,4,1,Candidate has useful ACGME evidence but needs source review before accepted identifier use.,"{""candidate_count_for_program"": 4, ""candidate_evidence"": {""acgme_data_item_key"": ""1218"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/education-and-training/internal-medicine-residency/our-program/combined-internal-medicine-pediatrics-program""}, ""close_candidate_count"": 1, ""match_reasons"": [""specialty_substring_match"", ""acgme_name_mentions_university_of_pennsylvania"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_9eefd8996cd621f0,program_identifier_candidate_hup-gme-fellowship-interventional-cardiology-401_cff396b3b5e8f3e7,hup_gme_fellowship_interventional-cardiology_401bf7cf2852,fellowship,Interventional Cardiology,acgme_program_code,1524112057,acgme_public_program_search,Interventional cardiology,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""2271"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-cardiovascular-medicine/education-and-training/fellowship-programs/interventional-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_12c988150d249d77,program_identifier_candidate_hup-gme-fellowship-maternal-fetal-medicine-fa13c_d91bb08d7b9568f8,hup_gme_fellowship_maternal-fetal-medicine_fa13cced70c8,fellowship,Maternal Fetal Medicine,acgme_program_code,2304122004,acgme_public_program_search,Maternal-fetal medicine,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""32684"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/obstetrics-and-gynecology/education-and-training/fellowship-programs/maternal-fetal-medicine""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_be02e92b26b2ef3f,program_identifier_candidate_hup-gme-fellowship-micrographic-surgery-and-derm_e8deb28bd8e4a5da,hup_gme_fellowship_micrographic-surgery-and-dermatologic-oncology_c2b7a901e48d,fellowship,Micrographic Surgery and Dermatologic Oncology,acgme_program_code,0814121048,acgme_public_program_search,Micrographic surgery and dermatologic oncology,University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""10564"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://dermatology.upenn.edu/education/fellowship-training/micrographic-oncology-fellowship/""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
program_identifier_reconciliation_program-identifier-candidate-hup-gme-fellowship-_58fe98f04e4ff209,program_identifier_candidate_hup-gme-fellowship-molecular-genetic-pathology-d_52a5124e04385cb4,hup_gme_fellowship_molecular-genetic-pathology_d07dc958c36e,fellowship,Molecular Genetic Pathology,acgme_program_code,1904121001,acgme_public_program_search,Molecular genetic pathology (multidisciplinary),University of Pennsylvania Health System Program,Philadelphia,strong_acgme_identifier_candidate,accepted_official_program_identifier,attach_identifier_to_official_program_record,0.91,1,1,1,Single strong ACGME candidate with no close competing Penn/UPHS facility or track sibling.,"{""candidate_count_for_program"": 1, ""candidate_evidence"": {""acgme_data_item_key"": ""8361"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/molecular-genetic-pathology-fellowship""}, ""close_candidate_count"": 1, ""match_reasons"": [""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""], ""observed_at"": ""2026-06-02T09:29:00.531218+00:00"", ""top_confidence"": 0.91}",2026-06-02T09:32:56.800704+00:00
