candidate_key,official_program_key,official_program_type,official_program_name,official_department,identifier_type,identifier_value,identifier_source,source_program_specialty,source_program_name,source_city,source_state,source_status_json,source_url,candidate_status,confidence,match_reasons_json,evidence_json,observed_at
program_identifier_candidate_hup-gme-fellowship-cytopathology-c3e8c941b7d0-ac_f6385069d50c7d79,hup_gme_fellowship_cytopathology_c3e8c941b7d0,fellowship,Cytopathology,Pathology and Laboratory Medicine,acgme_program_code,3074121004,acgme_public_program_search,Cytopathology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=3074121004,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""4638"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/cytopathology""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-dermatopathology-0b133cf636fb_6d223a2cc6fb073c,hup_gme_fellowship_dermatopathology_0b133cf636fb,fellowship,Dermatopathology,Dermatology,acgme_program_code,1004111012,acgme_public_program_search,Dermatopathology (multidisciplinary),University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1004111012,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""810"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://dermatology.upenn.edu/education/fellowship-training/dermatopathology/""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-endocrinology-67900e0ae4ef-ac_8f90cf66d8e42cb5,hup_gme_fellowship_endocrinology_67900e0ae4ef,fellowship,Endocrinology,Internal Medicine,acgme_program_code,1434121021,acgme_public_program_search,"Endocrinology, diabetes, and metabolism",University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1434121021,strong_acgme_identifier_candidate,0.89,"[""specialty_alias_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""1776"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/division-of-endocrinology-diabetes-and-metabolism/education-and-training/endcrinology-fellowship-programs""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-epilepsy-27d63d79e62b-acgme-1_0753d3c9a083a5d9,hup_gme_fellowship_epilepsy_27d63d79e62b,fellowship,Epilepsy,Neurology,acgme_program_code,1844118003,acgme_public_program_search,Epilepsy,University of Pennsylvania Health System Program,Philadephia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1844118003,strong_acgme_identifier_candidate,0.85,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_non_philadelphia""]","{""acgme_data_item_key"": ""27683"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://neurofellowships.uphs.upenn.edu/p/neurophysiologyepilepsy.html""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-epilepsy-27d63d79e62b-acgme-1_70206e6139c48240,hup_gme_fellowship_epilepsy_27d63d79e62b,fellowship,Epilepsy,Neurology,acgme_program_code,1844118004,acgme_public_program_search,Epilepsy,Children's Hospital of Philadelphia Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1844118004,review_acgme_identifier_candidate,0.71,"[""exact_specialty_name_match"", ""acgme_name_matches_chop_affiliate_context"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""27739"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://neurofellowships.uphs.upenn.edu/p/neurophysiologyepilepsy.html""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-forensic-psychiatry-961ea9b84_38798802797b1dce,hup_gme_fellowship_forensic-psychiatry_961ea9b84b8c,fellowship,Forensic Psychiatry,Psychiatry,acgme_program_code,4064112059,acgme_public_program_search,Forensic psychiatry,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4064112059,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""9999"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#forensic""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-gastroenterology-bcaac1ff0001_79f8b31211900463,hup_gme_fellowship_gastroenterology_bcaac1ff0001,fellowship,Gastroenterology,Internal Medicine,acgme_program_code,1444121021,acgme_public_program_search,Gastroenterology,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1444121021,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""2259"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/gastroenterology/education-and-training/fellowship-programs/gastroenterology-fellowship""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-gastrointestinal-and-hepatic-_55767994da35ece5,hup_gme_fellowship_gastrointestinal-and-hepatic-pathology-selective_ed8164df8cb1,fellowship,Gastrointestinal and Hepatic Pathology (Selective),Pathology and Laboratory Medicine,acgme_program_code,,acgme_public_program_search,,,,Pennsylvania,,,no_acgme_identifier_found,0.0,[],"{""official_program_url"": ""https://pathology.med.upenn.edu/education/fellowships/programs/gi-hepatic-pathology"", ""reason"": ""No Pennsylvania ACGME row crossed the conservative Penn affiliation and specialty threshold.""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-geriatric-medicine-af755683b7_58410e63dc726fd0,hup_gme_fellowship_geriatric-medicine_af755683b7ed,fellowship,Geriatric Medicine,Internal Medicine,acgme_program_code,1514121060,acgme_public_program_search,Geriatric medicine (Internal medicine),University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=1514121060,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""2707"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/geriatrics/education-and-training/fellowship-program""}",2026-06-02T10:06:52.674352+00:00
program_identifier_candidate_hup-gme-fellowship-geriatric-psychiatry-03060138_f0fc9d6a96694d6e,hup_gme_fellowship_geriatric-psychiatry_03060138c863,fellowship,Geriatric Psychiatry,Psychiatry,acgme_program_code,4074131033,acgme_public_program_search,Geriatric psychiatry,University of Pennsylvania Health System Program,Philadelphia,Pennsylvania,"{""1"":1,""9"":1}",https://apps.acgme.org/ads/Public/Programs/Detail?orgCode=4074131033,strong_acgme_identifier_candidate,0.91,"[""exact_specialty_name_match"", ""acgme_name_matches_university_of_pennsylvania_health_system"", ""program_type_matches_acgme_specialty_family"", ""acgme_city_philadelphia""]","{""acgme_data_item_key"": ""6027"", ""acgme_status_cell"": "",1,9,"", ""candidate_is_non_mutating"": true, ""official_program_url"": ""https://www.med.upenn.edu/psychiatry/formalfellowships.html#geriatric""}",2026-06-02T10:06:52.674352+00:00
