raw_value,event_type,mention_count,resolver_status,canonical_name
"LAU Gilbert and Rose-Marie Chagoury School of Medicine, Blat, Lebanon",medical_school,1,cleaned_label,"LAU Gilbert and Rose-Marie Chagoury School of Medicine, Blat, Lebanon"
Lankenau Hospital,residency_program,1,cleaned_label,Lankenau Hospital
"Lankenau Medical Center, Wynnewood, PA",residency_program,1,cleaned_label,"Lankenau Medical Center, Wynnewood, PA"
"Lehigh Valley Health Network, Allentown, PA",residency_program,1,cleaned_label,"Lehigh Valley Health Network, Allentown, PA"
"Lehigh Valley Health Network, Family Medicine",residency_program,1,cleaned_label,"Lehigh Valley Health Network, Family Medicine"
Lewis Katz School of Medicine at Temple University,medical_school,1,cleaned_label,Lewis Katz School of Medicine at Temple University
LewisGale Medical Center,residency_program,1,cleaned_label,LewisGale Medical Center
"Lincoln Memorial University Debusk College of Osteopathic Medicine, Harrogate , TN",medical_school,1,cleaned_label,"Lincoln Memorial University Debusk College of Osteopathic Medicine, Harrogate , TN"
Louisiana State University School of Medicine,medical_school,1,cleaned_label,Louisiana State University School of Medicine
MIT,undergraduate_school,1,cleaned_label,MIT
Main Line Health System/Lankenau Medical Center,residency_program,1,cleaned_label,Main Line Health System/Lankenau Medical Center
Massachusetts General - Brigham and Women's Hospital,residency_program,1,cleaned_label,Massachusetts General - Brigham and Women's Hospital
"Massachusetts General Hospital, Boston",residency_program,1,cleaned_label,"Massachusetts General Hospital, Boston"
Massachusetts Institute of Technology,graduate_school,1,cleaned_label,Massachusetts Institute of Technology
Maulana Azad Medical College (IN),medical_school,1,cleaned_label,Maulana Azad Medical College (IN)
"Maulana Azad Medical College, Delhi",medical_school,1,cleaned_label,"Maulana Azad Medical College, Delhi"
Mayo,residency_program,1,cleaned_label,Mayo
Mayo Clinic Alix School of Medicine,medical_school,1,cleaned_label,Mayo Clinic Alix School of Medicine
McGaw Medical Center at Northwestern University,residency_program,1,cleaned_label,McGaw Medical Center at Northwestern University
McGovern Medical School at the University of Texas,medical_school,1,cleaned_label,McGovern Medical School at the University of Texas
McGraw Medical Center of Northwestern University,residency_program,1,cleaned_label,McGraw Medical Center of Northwestern University
Med Peds at Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia,residency_program,1,cleaned_label,Med Peds at Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia
Med-Peds | University of Miami/Jackson Health Systems,residency_program,1,cleaned_label,Med-Peds | University of Miami/Jackson Health Systems
Med/Peds University of Rochester Medical Center,residency_program,1,cleaned_label,Med/Peds University of Rochester Medical Center
MedStar Georgetown University Hospital,residency_program,1,cleaned_label,MedStar Georgetown University Hospital
MedStar Health Georgetown University (Baltimore),residency_program,1,cleaned_label,MedStar Health Georgetown University (Baltimore)
Medical College of Georgia,medical_school,1,cleaned_label,Medical College of Georgia
Medical College of Georgia at Augusta University,medical_school,1,cleaned_label,Medical College of Georgia at Augusta University
Medical College of Wisconsin,medical_school,1,cleaned_label,Medical College of Wisconsin
Michigan State University College of Human Medicine,medical_school,1,cleaned_label,Michigan State University College of Human Medicine
Middlebury College,undergraduate_school,1,cleaned_label,Middlebury College
Midwestern University,medical_school,1,cleaned_label,Midwestern University
"Montefiore Medical Center, Bronx, NY",residency_program,1,cleaned_label,"Montefiore Medical Center, Bronx, NY"
Montefiore Medical Center/Albert Einstein College of Medicine,residency_program,1,cleaned_label,Montefiore Medical Center/Albert Einstein College of Medicine
Morehouse School of Medicine,medical_school,1,cleaned_label,Morehouse School of Medicine
Mount Sinai Beth Israel,residency_program,1,cleaned_label,Mount Sinai Beth Israel
Mount Sinai Hospital,residency_program,1,cleaned_label,Mount Sinai Hospital
Mt. Auburn Hospital-Harvard Medical School,residency_program,1,cleaned_label,Mt. Auburn Hospital-Harvard Medical School
Mt. Sinai Hospital,residency_program,1,cleaned_label,Mt. Sinai Hospital
NY Med College,medical_school,1,cleaned_label,NY Med College
NY Presbyterian - Weill Cornell Medicine,residency_program,1,cleaned_label,NY Presbyterian - Weill Cornell Medicine
NYIT College of Osteopathic Medicine,medical_school,1,cleaned_label,NYIT College of Osteopathic Medicine
NYU Langone Hospital,residency_program,1,cleaned_label,NYU Langone Hospital
NYU Langone Medical Center,residency_program,1,cleaned_label,NYU Langone Medical Center
NYU School of Medicine,residency_program,1,cleaned_label,NYU School of Medicine
NYU School of Medicine MSTP,medical_school,1,cleaned_label,NYU School of Medicine MSTP
Nagoya University School of Medicine,medical_school,1,cleaned_label,Nagoya University School of Medicine
"Naval Medical Center, Portsmouth VA.",residency_program,1,cleaned_label,"Naval Medical Center, Portsmouth VA."
"New York Institute of Technology College of Osteopathic Medicine, Old Westbury, NY",medical_school,1,cleaned_label,"New York Institute of Technology College of Osteopathic Medicine, Old Westbury, NY"
New York Medical College,medical_school,1,cleaned_label,New York Medical College
New York Presbyterial Hospital/Weill Cornell Medical Center,residency_program,1,cleaned_label,New York Presbyterial Hospital/Weill Cornell Medical Center
New York Presbyterian Columbia,residency_program,1,cleaned_label,New York Presbyterian Columbia
New York University,graduate_school,1,cleaned_label,New York University
New York University,residency_program,1,cleaned_label,New York University
New York University School of Medicine,medical_school,1,cleaned_label,New York University School of Medicine
New York-Presbyterian Hospital/ Weill Cornell Medical Center,residency_program,1,cleaned_label,New York-Presbyterian Hospital/ Weill Cornell Medical Center
New York-Presbyterian Weill Cornell,residency_program,1,cleaned_label,New York-Presbyterian Weill Cornell
"North Delhi Municipal Corporation Medical College, Hindu Rao Hospital",medical_school,1,cleaned_label,"North Delhi Municipal Corporation Medical College, Hindu Rao Hospital"
Northwestern Memorial Hospital,residency_program,1,cleaned_label,Northwestern Memorial Hospital
Northwestern University,undergraduate_school,1,cleaned_label,Northwestern University
Northwestern University Feinberg School of Medicine,medical_school,1,cleaned_label,Northwestern University Feinberg School of Medicine
Ohio State University College of Medicine,medical_school,1,cleaned_label,Ohio State University College of Medicine
Oregon Health and Science University,medical_school,1,cleaned_label,Oregon Health and Science University
Oregon Health and Science University,residency_program,1,cleaned_label,Oregon Health and Science University
Osmania Medical College,medical_school,1,cleaned_label,Osmania Medical College
Penn Internal Medicine,residency_program,1,cleaned_label,Penn Internal Medicine
Penn State College of Medicine,medical_school,1,cleaned_label,Penn State College of Medicine
"Penn State University, Schreyer Honors College",undergraduate_school,1,cleaned_label,"Penn State University, Schreyer Honors College"
Pennsylvania Hospital,residency_program,1,cleaned_label,Pennsylvania Hospital
Pennsylvania Hospital of the University of Pennsylvania,residency_program,1,cleaned_label,Pennsylvania Hospital of the University of Pennsylvania
Pennsylvania State University,undergraduate_school,1,cleaned_label,Pennsylvania State University
Perelman School of Medicine at the University of Pennsylvania,residency_program,1,cleaned_label,Perelman School of Medicine at the University of Pennsylvania
"Perelman School of Medicine at the University of Pennsylvania Residency: Surgery, University of Texas Southwestern",medical_school,1,cleaned_label,"Perelman School of Medicine at the University of Pennsylvania Residency: Surgery, University of Texas Southwestern"
Pern State College of Medicine,medical_school,1,cleaned_label,Pern State College of Medicine
Philadelphia College of Osteopathic Medicine,medical_school,1,cleaned_label,Philadelphia College of Osteopathic Medicine
"Philadelphia College of Osteopathic Medicine, Philadelphia, PA",medical_school,1,cleaned_label,"Philadelphia College of Osteopathic Medicine, Philadelphia, PA"
Philadelphia College of Osteopathic Medicine. Doctor of Osteopathic Medicine,medical_school,1,cleaned_label,Philadelphia College of Osteopathic Medicine. Doctor of Osteopathic Medicine
"Piedmont Athens Regional Medical Center, Athens - Georgia",residency_program,1,cleaned_label,"Piedmont Athens Regional Medical Center, Athens - Georgia"
Princeton University,undergraduate_school,1,cleaned_label,Princeton University
Renaissance School of Medicine at Stony Brook,medical_school,1,cleaned_label,Renaissance School of Medicine at Stony Brook
Renaissance School of Medicine at Stony Brook University,medical_school,1,cleaned_label,Renaissance School of Medicine at Stony Brook University
Robert Larner College of Medicine at the University of Vermont,medical_school,1,cleaned_label,Robert Larner College of Medicine at the University of Vermont
Rowan University School of Osteopathic Medicine,medical_school,1,cleaned_label,Rowan University School of Osteopathic Medicine
Rowan-Virta School of Osteopathic Medicine,medical_school,1,cleaned_label,Rowan-Virta School of Osteopathic Medicine
"Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ",medical_school,1,cleaned_label,"Rowan-Virtua School of Osteopathic Medicine, Stratford, NJ"
Royal College of Surgeons in Ireland,medical_school,1,cleaned_label,Royal College of Surgeons in Ireland
Royal College of Surgeons in Ireland - Medical University of Bahrain,medical_school,1,cleaned_label,Royal College of Surgeons in Ireland - Medical University of Bahrain
Royal College of Surgeons in Ireland School of Medicine,medical_school,1,cleaned_label,Royal College of Surgeons in Ireland School of Medicine
Rush Medical College of Rush University Medical Center,medical_school,1,cleaned_label,Rush Medical College of Rush University Medical Center
Rutgers - Robert Wood Johnson Medical School,residency_program,1,cleaned_label,Rutgers - Robert Wood Johnson Medical School
"Rutgers Health Robert Wood Johnson School of Medicine, New Brunswick, NJ",residency_program,1,cleaned_label,"Rutgers Health Robert Wood Johnson School of Medicine, New Brunswick, NJ"
Rutgers NJ Medical School,medical_school,1,cleaned_label,Rutgers NJ Medical School
Rutgers New Jersey Medical School,medical_school,1,cleaned_label,Rutgers New Jersey Medical School
Rutgers New Jersey Medical School,residency_program,1,cleaned_label,Rutgers New Jersey Medical School
Rutgers RW Johnson Medical School,medical_school,1,cleaned_label,Rutgers RW Johnson Medical School
Rutgers Rober Wood Johnson Medical School,medical_school,1,cleaned_label,Rutgers Rober Wood Johnson Medical School
Rutgers University,undergraduate_school,1,cleaned_label,Rutgers University
"Rutgers, Robert Wood Johnson",medical_school,1,cleaned_label,"Rutgers, Robert Wood Johnson"
SUNY Downstate College of Medicine,medical_school,1,cleaned_label,SUNY Downstate College of Medicine
"SUNY Downstate Health Sciences University, Brooklyn, NY",medical_school,1,cleaned_label,"SUNY Downstate Health Sciences University, Brooklyn, NY"
SUNY Downstate Kings County Primary Care Internal Medicine,residency_program,1,cleaned_label,SUNY Downstate Kings County Primary Care Internal Medicine
"SUNY Downstate Medical Center, Brooklyn, NY",residency_program,1,cleaned_label,"SUNY Downstate Medical Center, Brooklyn, NY"
SUNY Upstate Medical University,medical_school,1,cleaned_label,SUNY Upstate Medical University
SUNY Upstate Medical University,residency_program,1,cleaned_label,SUNY Upstate Medical University
Sidney Kimmel Med Col at Thomas Jefferson,medical_school,1,cleaned_label,Sidney Kimmel Med Col at Thomas Jefferson
Sidney Kimmel Med Col at Thomas Jefferson University,medical_school,1,cleaned_label,Sidney Kimmel Med Col at Thomas Jefferson University
Sidney Kimmel Medical College Thomas Jefferson,medical_school,1,cleaned_label,Sidney Kimmel Medical College Thomas Jefferson
"Sidney Kimmel Medical College at Thomas Jefferson University Residency: Family Medicine, Carl R Darnall Army Medical Center",medical_school,1,cleaned_label,"Sidney Kimmel Medical College at Thomas Jefferson University Residency: Family Medicine, Carl R Darnall Army Medical Center"
Sidney Kimmell at Thomas Jefferson University,medical_school,1,cleaned_label,Sidney Kimmell at Thomas Jefferson University
"St. George's University School of Medicine, True Blue, Grenada",medical_school,1,cleaned_label,"St. George's University School of Medicine, True Blue, Grenada"
St. George’s University Medical School,medical_school,1,cleaned_label,St. George’s University Medical School
St. Louis College of Pharmacy,undergraduate_school,1,cleaned_label,St. Louis College of Pharmacy
Stanford Health Care,residency_program,1,cleaned_label,Stanford Health Care
Stanford University,undergraduate_school,1,cleaned_label,Stanford University
Stanford University School of Medicine,medical_school,1,cleaned_label,Stanford University School of Medicine
State Un of New York Downstate Medical Center,medical_school,1,cleaned_label,State Un of New York Downstate Medical Center
"State University of NY Downstate Medical Center College of Medicine, Brooklyn, NY",medical_school,1,cleaned_label,"State University of NY Downstate Medical Center College of Medicine, Brooklyn, NY"
State University of NY at Stony Brook School of Medicine,medical_school,1,cleaned_label,State University of NY at Stony Brook School of Medicine
State University of New York Downstate,medical_school,1,cleaned_label,State University of New York Downstate
State University of New York at Geneseo,undergraduate_school,1,cleaned_label,State University of New York at Geneseo
"State University of New York, Buffalo New York",medical_school,1,cleaned_label,"State University of New York, Buffalo New York"
"Surgery, University of Texas Southwestern",residency_program,1,cleaned_label,"Surgery, University of Texas Southwestern"
"Tehran University of Medical Sciences, Tehran",medical_school,1,cleaned_label,"Tehran University of Medical Sciences, Tehran"
Temple University,undergraduate_school,1,cleaned_label,Temple University
Temple University (Medicine),residency_program,1,cleaned_label,Temple University (Medicine)
Temple University Hospital,residency_program,1,cleaned_label,Temple University Hospital
Temple University School of Medicine,medical_school,1,cleaned_label,Temple University School of Medicine
"The Feinberg School of Medicine, Northwestern University",medical_school,1,cleaned_label,"The Feinberg School of Medicine, Northwestern University"
"The Hospital of the University of Pennsylvania, Philadelphia, PA",residency_program,1,cleaned_label,"The Hospital of the University of Pennsylvania, Philadelphia, PA"
The University of Chicago Pritzker School of Medicine,medical_school,1,cleaned_label,The University of Chicago Pritzker School of Medicine
The University of Connecticut School of Medicine,medical_school,1,cleaned_label,The University of Connecticut School of Medicine
The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,medical_school,1,cleaned_label,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine
Thomas Jefferson University Hospital,residency_program,1,cleaned_label,Thomas Jefferson University Hospital
Touro College of Osteopathic Medicine - New York,medical_school,1,cleaned_label,Touro College of Osteopathic Medicine - New York
"Touro College of Osteopathic Medicine, New York, NY",medical_school,1,cleaned_label,"Touro College of Osteopathic Medicine, New York, NY"
Trinity School of Medicine,medical_school,1,cleaned_label,Trinity School of Medicine
Tufts University,medical_school,1,cleaned_label,Tufts University
Tufts University School of Medicine,medical_school,1,cleaned_label,Tufts University School of Medicine
Tulane University School of Medicine,medical_school,1,cleaned_label,Tulane University School of Medicine
UC Berkeley,undergraduate_school,1,cleaned_label,UC Berkeley
UCLA David Geffen School of Medicine,medical_school,1,cleaned_label,UCLA David Geffen School of Medicine
UCLA Medical Center,residency_program,1,cleaned_label,UCLA Medical Center
UCSF School of Medicine,medical_school,1,cleaned_label,UCSF School of Medicine
UMass Chan Medical School - Baystate,residency_program,1,cleaned_label,UMass Chan Medical School - Baystate
"UPMC-Lititz, Lititz, PA",residency_program,1,cleaned_label,"UPMC-Lititz, Lititz, PA"
"USC Medical Center, Los Angeles, CA",residency_program,1,cleaned_label,"USC Medical Center, Los Angeles, CA"
USF Health Morsani College of Medicine,medical_school,1,cleaned_label,USF Health Morsani College of Medicine
Un of Texas Southwestern Medical School At Dallas,medical_school,1,cleaned_label,Un of Texas Southwestern Medical School At Dallas
Uniformed Services University of the Health Sciences,medical_school,1,cleaned_label,Uniformed Services University of the Health Sciences
"United Health Services, Wilson Medical Center",residency_program,1,cleaned_label,"United Health Services, Wilson Medical Center"
Univ College Dublin,medical_school,1,cleaned_label,Univ College Dublin
Univ of Belgrade,medical_school,1,cleaned_label,Univ of Belgrade
Univ of Texas Southwestern Medical School,medical_school,1,cleaned_label,Univ of Texas Southwestern Medical School
"Universidad Central de Venezuela Escuela de Medicina Jose Maria Vargas, Venezuela",medical_school,1,cleaned_label,"Universidad Central de Venezuela Escuela de Medicina Jose Maria Vargas, Venezuela"
Universidad Francisco Marroquin,medical_school,1,cleaned_label,Universidad Francisco Marroquin
Universidad Francisco Marroquin,undergraduate_school,1,cleaned_label,Universidad Francisco Marroquin
Universidad Francisco Marroquin Facultad de Medicina,medical_school,1,cleaned_label,Universidad Francisco Marroquin Facultad de Medicina
Universidad Peruana de Ciencias Aplicadas (UPC) Escuela de Medicina,medical_school,1,cleaned_label,Universidad Peruana de Ciencias Aplicadas (UPC) Escuela de Medicina
Universidad de San Martin de Porres,medical_school,1,cleaned_label,Universidad de San Martin de Porres
Universidad de San Martin de Porres Facultad de Medicina,medical_school,1,cleaned_label,Universidad de San Martin de Porres Facultad de Medicina
Universidade do Oeste Paulista,medical_school,1,cleaned_label,Universidade do Oeste Paulista
University College Dublin School of Medicine,medical_school,1,cleaned_label,University College Dublin School of Medicine
"University College Dublin, Ireland",medical_school,1,cleaned_label,"University College Dublin, Ireland"
University of Alabama,medical_school,1,cleaned_label,University of Alabama
University of Alberta,residency_program,1,cleaned_label,University of Alberta
University of Aleppo,medical_school,1,cleaned_label,University of Aleppo
University of Arizona-Phoenix,residency_program,1,cleaned_label,University of Arizona-Phoenix
University of Arkansas Medical Sciences,residency_program,1,cleaned_label,University of Arkansas Medical Sciences
University of California San Francisco,residency_program,1,cleaned_label,University of California San Francisco
University of California San Francisco School of Medicine,medical_school,1,cleaned_label,University of California San Francisco School of Medicine
"University of California, Los Angeles Medical School",residency_program,1,cleaned_label,"University of California, Los Angeles Medical School"
"University of California, San Francisco",medical_school,1,cleaned_label,"University of California, San Francisco"
"University of California, San Francisco CA.",residency_program,1,cleaned_label,"University of California, San Francisco CA."
University of Central Florida College of Medicine,medical_school,1,cleaned_label,University of Central Florida College of Medicine
University of Chicago,residency_program,1,cleaned_label,University of Chicago
University of Chicago Pritzker,medical_school,1,cleaned_label,University of Chicago Pritzker
University of Colorado,residency_program,1,cleaned_label,University of Colorado
University of Colorado Medical School,medical_school,1,cleaned_label,University of Colorado Medical School
University of Colorado School of Medicine Denver,medical_school,1,cleaned_label,University of Colorado School of Medicine Denver
University of Florida,medical_school,1,cleaned_label,University of Florida
