rollup_key,rollup_scope,rollup_value,institution,country,country_code,role,trainee_category,program_name,lifecycle_code,projected_refresh_date,contract_count,person_count,program_count,expected_advancement_contract_count,expected_completion_contract_count,source_refresh_contract_count,manual_review_contract_count,carry_forward_contract_count,stale_by_refresh_count,fresh_observation_required_count,auto_classifiable_transition_count,dominant_next_refresh_contract,dominant_diff_readiness_status,guardrail_status,stale_information_policy,recommended_operator_action,evidence_json
training_temporal_contract_rollup_668b4b5be88e1cfda03b,program,Cardiothoracic Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Cardiothoracic Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,1,1,1,0,0,1,0,0,1,1,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 1}}"
training_temporal_contract_rollup_6f560ba5ec9be423683e,program,Cardiothoracic Surgery Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Cardiothoracic Surgery Residency,US_GME_RESIDENCY_6Y,2027-08-15,15,15,1,8,2,5,0,0,15,15,10,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 10, ""diff_source_refresh_bound"": 5}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 8, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 2, ""retain_only_if_fresh_source_reobserves"": 5}}"
training_temporal_contract_rollup_08b9274ce4d011087056,program,Cardiothoracic Transplantation Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Cardiothoracic Transplantation Surgery Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,1,1,1,0,0,1,0,0,1,1,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 1}}"
training_temporal_contract_rollup_f002a3d7a6ee623a2b63,program,Cardiovascular Disease Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Cardiovascular Disease Fellowship,US_GME_FELLOWSHIP_3Y,2027-08-15,33,33,1,22,10,0,1,0,33,33,32,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,review_bound,do_not_auto_mutate_rows_in_this_scope_until_review_queue_is_resolved,resolve_review_bound_lifecycle_or_source_labels,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 32, ""diff_review_bound"": 1}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 22, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 10, ""do_not_mutate_without_review"": 1}}"
training_temporal_contract_rollup_77d1df8d55b7768582e0,program,Clinical Cardiac Electrophysiology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Clinical Cardiac Electrophysiology Fellowship,US_GME_FELLOWSHIP_2Y,2027-08-15,12,12,1,0,0,12,0,0,12,12,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 12}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 12}}"
training_temporal_contract_rollup_28d2b233b0e21ee7a8b4,program,Clinical Chemistry Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Clinical Chemistry Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_02611bbea12062f5a20c,program,Clinical Microbiology Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Clinical Microbiology Fellowship,US_GME_FELLOWSHIP_DURATION_UNKNOWN,2027-08-15,2,2,1,0,0,2,0,0,2,2,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 2}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 2}}"
training_temporal_contract_rollup_352519fed326cf8c7a0f,program,Colon and Rectal Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Colon and Rectal Surgery Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,1,1,1,0,0,1,0,0,1,1,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 1}}"
training_temporal_contract_rollup_ff70a825ff658c1570f0,program,Combined Internal Medicine-Dermatology Residency,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,resident,resident,Combined Internal Medicine-Dermatology Residency,US_GME_RESIDENCY_4Y,2027-08-15,7,5,1,6,1,0,0,0,7,7,7,advance_only_if_fresh_expected_stage_observed,diff_expected_change_classifiable,deterministic_with_fresh_evidence,completion_absence_is_classifiable_after_stale_after_with_fresh_refresh,reconcile_expected_advancements_and_completion_absences,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_expected_change_classifiable"": 7}, ""next_refresh_contract_counts"": {""advance_only_if_fresh_expected_stage_observed"": 6, ""complete_or_alumni_only_if_absent_after_stale_or_endpoint_observed"": 1}}"
training_temporal_contract_rollup_4c996b7bb0f21a938f47,program,Craniofacial Surgery Fellowship,University of Pennsylvania Health System / Perelman School of Medicine,United States,US,fellow,fellow,Craniofacial Surgery Fellowship,US_GME_FELLOWSHIP_1Y,2027-08-15,1,1,1,0,0,1,0,0,1,1,0,retain_only_if_fresh_source_reobserves,diff_source_refresh_bound,source_refresh_bound,do_not_carry_forward_stale_rows_without_fresh_source_observations,refresh_sources_before_next_diff,"{""derived_from"": [""training_temporal_contracts""], ""diff_readiness_status_counts"": {""diff_source_refresh_bound"": 1}, ""next_refresh_contract_counts"": {""retain_only_if_fresh_source_reobserves"": 1}}"
