program_name,role,lifecycle_code,temporal_policy_lane,change_type,count
Hospice and Palliative Medicine Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,5
Infectious Diseases Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,unchanged,4
Infectious Diseases Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_completion,unchanged,6
Infectious Diseases Fellowship,fellow,US_GME_FELLOWSHIP_2Y,manual_review_required,unchanged,2
Infectious Diseases Fellowship,fellow,US_GME_FELLOWSHIP_2Y,source_refresh_required,unchanged,3
Internal Medicine Physician-Scientist Pathway,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,13
Internal Medicine Physician-Scientist Pathway,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,2
Internal Medicine Primary Care Residency,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,14
Internal Medicine Primary Care Residency,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,7
Internal Medicine Residency,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,127
Internal Medicine Residency,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,46
Internal Medicine Residency - Global Health Equities Track,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,manual_review_required,unchanged,2
Internal Medicine Residency - Global Health Equities Track,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,6
Internal Medicine Residency - Global Health Equities Track,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,6
Internal Medicine Residency - Global Health Equities Track,resident,US_GME_RESIDENCY_3Y,manual_review_required,unchanged,8
Internal Medicine Residency - Healthcare Leadership in Quality Track,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,14
Internal Medicine Residency - Healthcare Leadership in Quality Track,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,11
Internal Medicine Residency - Medical Education Leadership Track,resident,US_GME_RESIDENCY_3Y,deterministic_expected_advancement,unchanged,1
Internal Medicine Residency - Medical Education Leadership Track,resident,US_GME_RESIDENCY_3Y,deterministic_expected_completion,unchanged,7
Internal Medicine Residency - Medical Education Leadership Track,resident,US_GME_RESIDENCY_3Y,manual_review_required,unchanged,1
Interventional Cardiology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,4
Interventional Radiology Integrated Residency,resident,US_GME_RESIDENCY_6Y,source_refresh_required,unchanged,19
Maternal Fetal Medicine Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,manual_review_required,unchanged,8
Medical Scientist Training Program,medical_student,US_MD_PHD_MSTP_VARIABLE,source_refresh_required,unchanged,225
Microvascular Reconstructive Surgery Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,5
Molecular Genetic Pathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,2
Nephrology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_advancement,unchanged,9
Nephrology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,deterministic_expected_completion,unchanged,7
Nephrology Fellowship,fellow,US_GME_FELLOWSHIP_2Y,source_refresh_required,unchanged,6
Neurological Surgery Residency,resident,US_GME_RESIDENCY_7Y,deterministic_expected_advancement,unchanged,18
Neurological Surgery Residency,resident,US_GME_RESIDENCY_7Y,deterministic_expected_completion,unchanged,3
Neurology Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,54
Neuropathology Fellowship,fellow,US_GME_FELLOWSHIP_DURATION_UNKNOWN,source_refresh_required,unchanged,2
Neuroradiology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,11
Neurotology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Nuclear Radiology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,2
Obstetrics and Gynecology Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,unchanged,24
Obstetrics and Gynecology Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_completion,unchanged,8
Oncologic Imaging Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,1
Ophthalmology Fellowship,fellow,US_GME_FELLOWSHIP_1Y,source_refresh_required,unchanged,10
Ophthalmology Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,unchanged,5
Ophthalmology Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,15
Oral Medicine Residency,resident,US_GME_RESIDENCY_DURATION_UNKNOWN,source_refresh_required,unchanged,8
Orthopedic Surgery Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,unchanged,31
Orthopedic Surgery Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_completion,unchanged,7
Orthopedic Surgery Residency,resident,US_GME_RESIDENCY_5Y,source_refresh_required,unchanged,2
Otorhinolaryngology Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_advancement,unchanged,26
Otorhinolaryngology Residency,resident,US_GME_RESIDENCY_5Y,deterministic_expected_completion,unchanged,5
Pathology - Anatomic and Clinical Residency,resident,US_GME_RESIDENCY_DURATION_UNKNOWN,manual_review_required,unchanged,44
Penn-CHOP Internal Medicine-Pediatrics Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,unchanged,19
Penn-CHOP Internal Medicine-Pediatrics Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_completion,unchanged,5
Penn-CHOP Internal Medicine-Pediatrics Residency,resident,US_GME_RESIDENCY_4Y,source_refresh_required,unchanged,1
Physical Medicine and Rehabilitation Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_advancement,unchanged,16
Physical Medicine and Rehabilitation Residency,resident,US_GME_RESIDENCY_4Y,deterministic_expected_completion,unchanged,3
Physical Medicine and Rehabilitation Residency,resident,US_GME_RESIDENCY_4Y,source_refresh_required,unchanged,3
