organization_key,canonical_name,normalized_name,category,parent_name,resolver_status,confidence
org_medical-school-spencer-fox-eccles-school-medicin_ef5b7f57dffe,the Spencer Fox Eccles School of Medicine,spencer fox eccles school medicine,medical_school,,cleaned_label,0.55
org_medical-school-university_eca134abc6f2,the University,university,medical_school,,cleaned_label,0.55
org_medical-school-undergrad-johns-hopkins-universit_b02e8567f9f3,undergrad at Johns Hopkins University,undergrad johns hopkins university,medical_school,,cleaned_label,0.55
org_undergraduate-institution-american-university-be_d010a220761b,American University of Beirut - Lebanon,american university beirut lebanon,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-boston-college_fab4bdfbf329,Boston College,boston college,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-christopher-newport-un_e2e7087b1b84,Christopher Newport University,christopher newport university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-city-college-new-york-_326f80202d44,City College of New York/Sophie Davis School of Biomedical Education,city college new york sophie davis school biomedical education,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-colby-college_cdf7b260d8e7,Colby College,colby college,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-college-william-mary_adc234090a06,College of William and Mary,college william mary,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-cornell-university_4721eb3082f6,Cornell University,cornell university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-dartmouth-college_db94f96fac4e,Dartmouth College,dartmouth college,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-duke-university_5094aec6ea1f,Duke University,duke university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-georgia-institute-tech_9f248d8c9a15,Georgia Institute of Technology,georgia institute technology,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-harvard-university_ef323c542f42,Harvard University,harvard university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-international-american_dec20ad2b074,International American University College of Medicine St. Lucia,international american university college medicine st lucia,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-mit_c7309a2183d4,MIT,mit,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-middlebury-college_8ade095425f2,Middlebury College,middlebury college,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-northwestern-universit_00f6ddf364af,Northwestern University,northwestern university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-penn-state-university-_dae103a22953,"Penn State University, Schreyer Honors College",penn state university schreyer honors college,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-pennsylvania-state-uni_6707b0dd3f8b,Pennsylvania State University,pennsylvania state university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-princeton-university_d8b1aee698a3,Princeton University,princeton university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-rutgers-university_6d22c668b4cb,Rutgers University,rutgers university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-st-louis-college-pharm_aed5771d66e8,St. Louis College of Pharmacy,st louis college pharmacy,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-stanford-university_7e6e2249f104,Stanford University,stanford university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-state-university-new-y_9b4c994a31be,State University of New York at Geneseo,state university new york geneseo,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-temple-university_a0a643cd2d8d,Temple University,temple university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-uc-berkeley_4bde2c89b72b,UC Berkeley,uc berkeley,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-universidad-francisco-_501eeaedde28,Universidad Francisco Marroquin,universidad francisco marroquin,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-maryland_550e6cc9387a,University of Maryland,university maryland,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-michigan_4a29b022619e,University of Michigan,university michigan,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-nebraska-li_0435baf79a63,University of Nebraska - Lincoln,university nebraska lincoln,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-oklahoma_4afe7f50ce86,University of Oklahoma,university oklahoma,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-pennsylvani_f0bb756a6157,University of Pennsylvania,university pennsylvania,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-pittsburgh_9c1d354b782f,University of Pittsburgh,university pittsburgh,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-university-puerto-rico_e14231085ac6,University of Puerto Rico,university puerto rico,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-wake-forest-university_4095b53c18d8,Wake Forest University,wake forest university,undergraduate_institution,,cleaned_label,0.55
org_undergraduate-institution-yale-university_9d418787b2cc,Yale University,yale university,undergraduate_institution,,cleaned_label,0.55
