organization_key,canonical_name,normalized_name,category,parent_name,resolver_status,confidence
org_clinical-training-site-mcgraw-medical-center-nor_d24190fbb72c,McGraw Medical Center of Northwestern University,mcgraw medical center northwestern university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medical-peds-hospital-uni_aa2d97de5bc3,Med Peds at Hospital of the University of Pennsylvania / Children's Hospital of Philadelphia,medical peds hospital university pennsylvania children s hospital philadelphia,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medical-peds-university-m_568dbc0da8ef,Med-Peds | University of Miami/Jackson Health Systems,medical peds university miami jackson health systems,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medical-peds-university-r_71b221349a45,Med/Peds University of Rochester Medical Center,medical peds university rochester medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medstar-georgetown-univer_25ae3b3b7c79,MedStar Georgetown University Hospital,medstar georgetown university hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-medstar-health-georgetown_9259b33a9575,MedStar Health Georgetown University (Baltimore),medstar health georgetown university baltimore,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-montefiore-medical-center_50128bf7735e,"Montefiore Medical Center, Bronx, NY",montefiore medical center bronx ny,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-montefiore-medical-center_b6273aea1541,Montefiore Medical Center/Albert Einstein College of Medicine,montefiore medical center albert einstein college medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mount-sinai-beth-israel_3392d1abf1da,Mount Sinai Beth Israel,mount sinai beth israel,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mount-sinai-hospital_119236b23a72,Mount Sinai Hospital,mount sinai hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mt-auburn-hospital-harvar_faaf24e6e31a,Mt. Auburn Hospital-Harvard Medical School,mt auburn hospital harvard medical school,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-mt-sinai-hospital_ec075b79a53b,Mt. Sinai Hospital,mt sinai hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-ny-presbyterian-weill-cor_883618ed9292,NY Presbyterian - Weill Cornell Medicine,ny presbyterian weill cornell medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-nyu-langone-hospital_1f8af50e7f2c,NYU Langone Hospital,nyu langone hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-nyu-langone-medical-cente_e58918b38b31,NYU Langone Medical Center,nyu langone medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-nyu-school-medicine_f6c854e2ab53,NYU School of Medicine,nyu school medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-naval-medical-center-port_8ec94563367b,"Naval Medical Center, Portsmouth VA.",naval medical center portsmouth va,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-new-york-presbyterial-hos_5b0b3f70ae26,New York Presbyterial Hospital/Weill Cornell Medical Center,new york presbyterial hospital weill cornell medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-new-york-presbyterian-col_4e36a3b9271c,New York Presbyterian Columbia,new york presbyterian columbia,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-new-york-university_ce7f8a1ff506,New York University,new york university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-new-york-presbyterian-hos_6d63abf7842a,New York-Presbyterian Hospital/ Weill Cornell Medical Center,new york presbyterian hospital weill cornell medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-new-york-presbyterian-wei_9f02e8e10cc5,New York-Presbyterian Weill Cornell,new york presbyterian weill cornell,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-northwestern-memorial-hos_3f90142254b7,Northwestern Memorial Hospital,northwestern memorial hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-oregon-health-science-uni_34a1b2c1e290,Oregon Health and Science University,oregon health science university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-penn-internal-medicine_fde680efdb34,Penn Internal Medicine,penn internal medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-pennsylvania-hospital_9e8ee7929e37,Pennsylvania Hospital,pennsylvania hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-pennsylvania-hospital-uni_69be2edcad3c,Pennsylvania Hospital of the University of Pennsylvania,pennsylvania hospital university pennsylvania,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-perelman-school-medicine-_4c3b821f0b87,Perelman School of Medicine at the University of Pennsylvania,perelman school medicine university pennsylvania,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-piedmont-athens-regional-_44c55e535546,"Piedmont Athens Regional Medical Center, Athens - Georgia",piedmont athens regional medical center athens georgia,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-rutgers-robert-wood-johns_eaa4b4783b9f,Rutgers - Robert Wood Johnson Medical School,rutgers robert wood johnson medical school,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-rutgers-health-robert-woo_f4ee26636e11,"Rutgers Health Robert Wood Johnson School of Medicine, New Brunswick, NJ",rutgers health robert wood johnson school medicine new brunswick nj,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-rutgers-new-jersey-medica_20aeb9f4adfe,Rutgers New Jersey Medical School,rutgers new jersey medical school,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-suny-downstate-kings-coun_ae5f7c03dd70,SUNY Downstate Kings County Primary Care Internal Medicine,suny downstate kings county primary care internal medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-suny-downstate-medical-ce_285aa0e90d24,"SUNY Downstate Medical Center, Brooklyn, NY",suny downstate medical center brooklyn ny,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-suny-upstate-medical-univ_a89abd8ddbba,SUNY Upstate Medical University,suny upstate medical university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-stanford-health-care_934552043de7,Stanford Health Care,stanford health care,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-surgery-university-texas-_8cbc2a0117e4,"Surgery, University of Texas Southwestern",surgery university texas southwestern,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-temple-university-medicin_b95a21c1c627,Temple University (Medicine),temple university medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-temple-university-hospita_5e14fd24746f,Temple University Hospital,temple university hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-hospital-university-penns_e4e6a7d3ca41,"The Hospital of the University of Pennsylvania, Philadelphia, PA",hospital university pennsylvania philadelphia pa,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-thomas-jefferson-universi_9aaf4d18ac9d,Thomas Jefferson University Hospital,thomas jefferson university hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-ucla-medical-center_c03747f68957,UCLA Medical Center,ucla medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-umass-chan-medical-school_981c95de10ac,UMass Chan Medical School - Baystate,umass chan medical school baystate,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-upmc-lititz-lititz-pa_86104d9bba72,"UPMC-Lititz, Lititz, PA",upmc lititz lititz pa,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-usc-medical-center-los-an_61bb4d687e44,"USC Medical Center, Los Angeles, CA",usc medical center los angeles ca,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-united-health-services-wi_fbea0b23166a,"United Health Services, Wilson Medical Center",united health services wilson medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-alberta_094e5e021211,University of Alberta,university alberta,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-arizona-phoeni_2c07c034b552,University of Arizona-Phoenix,university arizona phoenix,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-arkansas-medic_5dbe64ec636f,University of Arkansas Medical Sciences,university arkansas medical sciences,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-california-san_2b9349fa7fae,University of California San Francisco,university california san francisco,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-california-los_866605845db0,"University of California, Los Angeles Medical School",university california los angeles medical school,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-california-san_a83b5f7bc95d,"University of California, San Francisco CA.",university california san francisco ca,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-chicago_2640c7c68191,University of Chicago,university chicago,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-colorado_e31392582623,University of Colorado,university colorado,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-florida_ae0150dc71a7,University of Florida,university florida,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-massachusetts-_ecbacbc51ec9,"University of Massachusetts Chan School of Medicine-Baystate, Springfield, MA",university massachusetts chan school medicine baystate springfield ma,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-miami_122c2463884a,University of Miami,university miami,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-miami-jackson-_1efa6ea5f149,"University of Miami, Jackson Health System",university miami jackson health system,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-miami-jackson_9905c778d657,University of Miami-Jackson,university miami jackson,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-michigan_01f576f6e236,University of Michigan,university michigan,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-michigan-medic_812108ada191,University of Michigan (Medicine/Pediatrics),university michigan medicine pediatrics,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-missouri-kansa_3365439f7379,University of Missouri-Kansas City,university missouri kansas city,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-north-carolina_045876860e03,University of North Carolina,university north carolina,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-pennsylvania-h_9c5c0d084d5c,"University of Pennsylvania Health System, Pennsylvania Hospital",university pennsylvania health system pennsylvania hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-pennsylvania-c_7c38fd8499f3,"University of Pennsylvania, Chief Resident",university pennsylvania chief resident,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-pittsburgh-med_04ca2e5a6dc6,University of Pittsburgh Medical Center,university pittsburgh medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-puerto-rico_89b7d9271401,University of Puerto Rico,university puerto rico,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-rochester-medi_4584ddcc2fd8,University of Rochester Medical Center,university rochester medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-texas-rio-gran_0a4e99172f6b,University of Texas Rio Grande,university texas rio grande,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-texas-southwes_f55f15fbaf80,University of Texas Southwestern Medical Center,university texas southwestern medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-virgina_380c26f642ef,University of Virgina,university virgina,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-washington_883ca66e5bc1,University of Washington,university washington,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-university-washington-chi_755711ed2498,"University of Washington, Chief Resident",university washington chief resident,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-vanderbilt-university_369299f2b940,Vanderbilt University,vanderbilt university,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-vanderbilt-university-med_39a415383014,Vanderbilt University Medical Center,vanderbilt university medical center,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-wright-state-university-b_a60a77272b5b,Wright State University Boonshoft School of Medicine,wright state university boonshoft school medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-yale_aec1691c4206,Yale,yale,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-yale-new-haven-hospital_c4296fecd597,Yale New Haven Hospital,yale new haven hospital,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-yale-school-medicine_fbe2660396b5,Yale School of Medicine,yale school medicine,clinical_training_site,,cleaned_label,0.55
org_clinical-training-site-yale-university_53bf55e00427,Yale University,yale university,clinical_training_site,,cleaned_label,0.55
org_graduate-institution-johns-hopkins-university_d81d552b428b,Johns Hopkins University,johns hopkins university,graduate_institution,,cleaned_label,0.55
org_graduate-institution-massachusetts-institute-tec_3ac52cc7e154,Massachusetts Institute of Technology,massachusetts institute technology,graduate_institution,,cleaned_label,0.55
org_graduate-institution-new-york-university_d0c8721040f7,New York University,new york university,graduate_institution,,cleaned_label,0.55
org_graduate-institution-university-pennsylvania_a0649b4df2cf,University of Pennsylvania,university pennsylvania,graduate_institution,,cleaned_label,0.55
org_graduate-institution-vanderbilt-university_a91cb68c701f,Vanderbilt University,vanderbilt university,graduate_institution,,cleaned_label,0.55
org_graduate-institution-yale-school-medicine_da136fbafb75,Yale School of Medicine,yale school medicine,graduate_institution,,cleaned_label,0.55
org_medical-school-aga-khan-university-medical-colle_d4c0460a990c,Aga Khan University Medical College,aga khan university medical college,medical_school,,cleaned_label,0.55
