organization_key,canonical_name,category,query,source_name,status,observed_at,result_count,source_number_of_results,error,request_url
org_medical-school-warren-alpert-medical-school-brow_763eb0e8be49,Warren Alpert Medical School of Brown University,medical_school,Warren Alpert Medical School of Brown University,ROR,ok,2026-06-02T10:06:19.187922+00:00,3,34104,,https://api.ror.org/organizations?query=Warren+Alpert+Medical+School+of+Brown+University&page=1
org_undergraduate-institution-duke-university_5094aec6ea1f,Duke University,undergraduate_institution,Duke University,ROR,ok,2026-06-02T10:06:19.840157+00:00,3,13085,,https://api.ror.org/organizations?query=Duke+University&page=1
org_undergraduate-institution-university-michigan_4a29b022619e,University of Michigan,undergraduate_institution,University of Michigan,ROR,ok,2026-06-02T10:06:20.455533+00:00,3,30540,,https://api.ror.org/organizations?query=University+of+Michigan&page=1
org_undergraduate-institution-university-texas-austi_4a36f248e02d,"University of Texas, Austin",undergraduate_institution,"University of Texas, Austin",ROR,ok,2026-06-02T10:06:21.054823+00:00,3,30615,,https://api.ror.org/organizations?query=University+of+Texas%2C+Austin&page=1
org_medical-school-stanford-university-school-medici_76d8c5702b31,Stanford University School of Medicine,medical_school,Stanford University School of Medicine,ROR,ok,2026-06-02T10:06:21.657890+00:00,3,31827,,https://api.ror.org/organizations?query=Stanford+University+School+of+Medicine&page=1
org_medical-school-tufts-university-school-medicine_4f7d785f351a,Tufts University School of Medicine,medical_school,Tufts University School of Medicine,ROR,ok,2026-06-02T10:06:22.263534+00:00,3,31824,,https://api.ror.org/organizations?query=Tufts+University+School+of+Medicine&page=1
org_medical-school-virginia-commonwealth-university-_e853376e994f,Virginia Commonwealth University School of Medicine,medical_school,Virginia Commonwealth University School of Medicine,ROR,ok,2026-06-02T10:06:22.997876+00:00,3,31930,,https://api.ror.org/organizations?query=Virginia+Commonwealth+University+School+of+Medicine&page=1
org_medical-school-washington-university-school-medi_06728f44920b,Washington University School of Medicine,medical_school,Washington University School of Medicine,ROR,ok,2026-06-02T10:06:23.594722+00:00,3,31895,,https://api.ror.org/organizations?query=Washington+University+School+of+Medicine&page=1
org_undergraduate-institution-brown-university_891b27d211da,Brown University,undergraduate_institution,Brown University,ROR,ok,2026-06-02T10:06:24.379777+00:00,3,13124,,https://api.ror.org/organizations?query=Brown+University&page=1
org_undergraduate-institution-harvard-university_ef323c542f42,Harvard University,undergraduate_institution,Harvard University,ROR,ok,2026-06-02T10:06:25.012569+00:00,3,13101,,https://api.ror.org/organizations?query=Harvard+University&page=1
org_undergraduate-institution-university-california-_404c9d675acf,"University of California, Berkeley",undergraduate_institution,"University of California, Berkeley",ROR,ok,2026-06-02T10:06:25.582635+00:00,3,30624,,https://api.ror.org/organizations?query=University+of+California%2C+Berkeley&page=1
org_undergraduate-institution-university-maryland_550e6cc9387a,University of Maryland,undergraduate_institution,University of Maryland,ROR,ok,2026-06-02T10:06:26.166380+00:00,3,30508,,https://api.ror.org/organizations?query=University+of+Maryland&page=1
org_undergraduate-institution-university-pittsburgh_9c1d354b782f,University of Pittsburgh,undergraduate_institution,University of Pittsburgh,ROR,ok,2026-06-02T10:06:26.865843+00:00,3,30490,,https://api.ror.org/organizations?query=University+of+Pittsburgh&page=1
org_clinical-training-site-duke-university_44996b652787,Duke University,clinical_training_site,Duke University,ROR,ok,2026-06-02T10:06:27.496642+00:00,3,13085,,https://api.ror.org/organizations?query=Duke+University&page=1
org_clinical-training-site-johns-hopkins-university_3d3b23ae324e,Johns Hopkins University,clinical_training_site,Johns Hopkins University,ROR,ok,2026-06-02T10:06:28.002186+00:00,3,13098,,https://api.ror.org/organizations?query=Johns+Hopkins+University&page=1
org_medical-school-case-western-reserve-university_7c102c37db2f,Case Western Reserve University,medical_school,Case Western Reserve University,ROR,ok,2026-06-02T10:06:28.491665+00:00,3,13371,,https://api.ror.org/organizations?query=Case+Western+Reserve+University&page=1
org_medical-school-eastern-virginia-medical-school_87d92a8002d5,Eastern Virginia Medical School,medical_school,Eastern Virginia Medical School,ROR,ok,2026-06-02T10:06:29.037155+00:00,3,5977,,https://api.ror.org/organizations?query=Eastern+Virginia+Medical+School&page=1
org_medical-school-medical-college-georgia_74cfe0348fd5,Medical College of Georgia,medical_school,Medical College of Georgia,ROR,ok,2026-06-02T10:06:29.603467+00:00,3,29404,,https://api.ror.org/organizations?query=Medical+College+of+Georgia&page=1
org_medical-school-new-york-university-school-medici_6be9ae3c6a7a,New York University School of Medicine,medical_school,New York University School of Medicine,ROR,ok,2026-06-02T10:06:30.190001+00:00,3,32400,,https://api.ror.org/organizations?query=New+York+University+School+of+Medicine&page=1
org_medical-school-penn-state-college-medicine_1ac376bb6010,Penn State College of Medicine,medical_school,Penn State College of Medicine,ROR,ok,2026-06-02T10:06:30.767058+00:00,3,28310,,https://api.ror.org/organizations?query=Penn+State+College+of+Medicine&page=1
org_medical-school-rutgers-new-jersey-medical-school_b4bfe1582e31,Rutgers New Jersey Medical School,medical_school,Rutgers New Jersey Medical School,ROR,ok,2026-06-02T10:06:31.347630+00:00,3,6606,,https://api.ror.org/organizations?query=Rutgers+New+Jersey+Medical+School&page=1
org_medical-school-temple-university_a0c2897cfd10,Temple University,medical_school,Temple University,ROR,ok,2026-06-02T10:06:31.892384+00:00,3,13087,,https://api.ror.org/organizations?query=Temple+University&page=1
org_medical-school-tulane-university-school-medicine_1eeb81848f68,Tulane University School of Medicine,medical_school,Tulane University School of Medicine,ROR,ok,2026-06-02T10:06:32.734154+00:00,3,31823,,https://api.ror.org/organizations?query=Tulane+University+School+of+Medicine&page=1
org_medical-school-university-florida-college-medici_29050077c4f6,University of Florida College of Medicine,medical_school,University of Florida College of Medicine,ROR,ok,2026-06-02T10:06:33.367402+00:00,3,33923,,https://api.ror.org/organizations?query=University+of+Florida+College+of+Medicine&page=1
org_medical-school-university-virginia_b8d043f19a64,University of Virginia,medical_school,University of Virginia,ROR,ok,2026-06-02T10:06:33.952933+00:00,3,30563,,https://api.ror.org/organizations?query=University+of+Virginia&page=1
org_medical-school-vanderbilt-university_65d9c8f2a22d,Vanderbilt University,medical_school,Vanderbilt University,ROR,ok,2026-06-02T10:06:34.532659+00:00,3,13082,,https://api.ror.org/organizations?query=Vanderbilt+University&page=1
org_medical-school-wake-forest-university-school-med_9f27c7ee6c5c,Wake Forest University School of Medicine,medical_school,Wake Forest University School of Medicine,ROR,ok,2026-06-02T10:06:35.088262+00:00,3,31948,,https://api.ror.org/organizations?query=Wake+Forest+University+School+of+Medicine&page=1
org_medical-school-weill-cornell-medicine_8d2a26b3a50d,Weill Cornell Medicine,medical_school,Weill Cornell Medicine,ROR,ok,2026-06-02T10:06:35.682950+00:00,3,906,,https://api.ror.org/organizations?query=Weill+Cornell+Medicine&page=1
org_medical-school-zucker-school-medicine-hofstra-no_c07e484e868d,Zucker School of Medicine at Hofstra/Northwell,medical_school,Zucker School of Medicine at Hofstra/Northwell,ROR,error,2026-06-02T10:06:36.352432+00:00,0,0,HTTPError: HTTP Error 500: Internal Server Error,https://api.ror.org/organizations?query=Zucker+School+of+Medicine+at+Hofstra%2FNorthwell&page=1
