career_event_id,person_key,display_name,event_type,role_title,organization_name,department,program_context,event_year,source_key,source_url,confidence,status,match_features_json
36,,"Denis Hadjiliadis, MD, PhD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
7,,"Douglas Eric Guggenheim, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
14,,"Edward A. Stadtmauer, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
30,,"Emily Chan, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
1,,"Emily Gordon, MD, MSEd",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,penn_attending_departments_and_centers_anesthesiology_and_critical_care_education_and_e746ff17cc,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
12,,"Erin O. Aakhus, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
27,,"Geeta Ravi Patel, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Section of Allergy and Immunology Faculty,,penn_attending_departments_and_centers_department_of_medicine_divisions_pulmonology_a_eb928a342a,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/pulmonology-allergy-and-critical-care/allergy-and-immunology/allergy-and-immunology-faculty,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
48,,Janet Long,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
2,,Jesse Kiefer MD MSEd,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Anesthesiology and Critical Care,Department of Anesthesiology Education Leadership Team,,penn_attending_departments_and_centers_anesthesiology_and_critical_care_education_and_e746ff17cc,https://www3.pennmedicine.org/departments-and-centers/anesthesiology-and-critical-care/education-and-training/leadership,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
31,,"Katherine Courtright, MD",current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,0.55,candidate,"[""official_penn_faculty_page"", ""not_linked_to_existing_person""]"
