manual_decision_row_key,decision_scaffold_key,review_batch_key,review_queue_lane,program_key,program_name,candidate_fingerprint_sha256,candidate_source_kind,decision_fingerprint,reviewer_action,reviewer_note,confirm_decision_fingerprint,confirm_no_person_ingestion,confirm_no_denominator_closure,confirm_no_raw_name_added,confirm_no_url_rewrite,confirm_candidate_fingerprint_only,confirm_scope_metadata_only,confirm_recourse_only
vanderbilt_candidate_manual_decision_076850032ce8a6bdf46b,vanderbilt_candidate_review_decision_f637d91d1b9e90f71726,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,02067370bf3c06a9754fcf28ecab62de6f8213a0b14b750837c6404767b6f7e5,profile_anchor,2f7013f2158ea0e0dd9432b23708291aedf97918d7c937334637ff9fa29df1d3,,,,,,,,,,
vanderbilt_candidate_manual_decision_0de73cce2256fecf6d9a,vanderbilt_candidate_review_decision_5ff272f1832dbc242221,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,80a4a0f0777da98f0c7a218ff8833611f294b65e0ba05210f5d6fd0b43acb9df,profile_anchor,0ff2f20ee905dbf8660cc28744b6a2f852f26bd5041bf8561d76540deba862cc,,,,,,,,,,
vanderbilt_candidate_manual_decision_11e956e154816cefa013,vanderbilt_candidate_review_decision_f0c3686db8a65a791816,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,d11e3185cea07602dcff9503d7e1c04a42657028d6532b9ed29a62362d8d3a39,heading_signal,a6a4b655e6664f224e18d831c5de71b85fae55c5451190786b6bda98360b7e9c,,,,,,,,,,
vanderbilt_candidate_manual_decision_31a80bed45e2f2532b5f,vanderbilt_candidate_review_decision_c5d97330c6f711770d8c,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,d90009b33c4e3fd4b98c8d0ce05758015d5039fd0ba6de1e5060aa68dc4007b0,profile_anchor,cb35aa7a251229e00757cdaad640f297e0499687d88b5c5ae873413e91c5086b,,,,,,,,,,
vanderbilt_candidate_manual_decision_7cb8f6347db55fcef3cc,vanderbilt_candidate_review_decision_290f2bd60ed7091bb79b,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,eb8ad3023d9dd1aa3d03fc08cc8bd8e08a177016620d2a3fcb125e1f12e0b7b7,profile_anchor,de63be69541b84c2277f202ce41a38fcb773cd28f3b2dda4ef3c831010e3e6e4,,,,,,,,,,
vanderbilt_candidate_manual_decision_7d4e81cf8a6b61092509,vanderbilt_candidate_review_decision_88398e91b6472876a19a,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,c9f05a43cb47eb3583fcbb70bd7cbd521865588322b8e7b967a0a29a84395e33,heading_signal,95b227f4cd501a8ced77c7098d8812906a106740f4bfd0dbb52d80cc5c02f79a,,,,,,,,,,
vanderbilt_candidate_manual_decision_8933824f55b87200aa94,vanderbilt_candidate_review_decision_b93b9cc7d5ae55cbaf51,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,2a37a1d685ecf1d1ddeea28bab5ea0e32c93d8df81db9668e4e5bc29dd4384e9,profile_anchor,358d5b5168a292c0a6b76051bb3ec781186306b6be4fceaf7522f9adc8745d3b,,,,,,,,,,
vanderbilt_candidate_manual_decision_8d9f0f540559de0b1993,vanderbilt_candidate_review_decision_7051a083d3c488dec875,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,ac6ccc5d1cce9d199e3254116cf485c1a75bdc128a36af89099bf7e0a4a08ca8,profile_anchor,386bf4125849cc187871ec914d4ad75b6358e9929dd51c693fa64a09a4cdb3fd,,,,,,,,,,
vanderbilt_candidate_manual_decision_8deb608791eaa8a54fc2,vanderbilt_candidate_review_decision_78f153ae9e078c9bf9dc,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,3e32455df9de4756931261a6210eef6770e303dca1b5397ec34b8e7d9c957358,profile_anchor,874ae1fba853e60c12adea987dd2d49e4d35cd0f00906d7999812b0308f9653c,,,,,,,,,,
vanderbilt_candidate_manual_decision_9929f8231caf5291b189,vanderbilt_candidate_review_decision_e7bb37c8fa4effffd5dc,vanderbilt_candidate_review_batch_8ea137fbb9c0b4c6d2cb,candidate_fingerprint_review,vanderbilt_program_fellowship-neonatal-perinatal-medicine-https-pediatrics-vumc_4f77c30f6178,Neonatal-Perinatal Medicine,c69fb16883e59d0fa7e61e0e72b54437d15869f2038f4a699538b5a776f06289,profile_anchor,0211c56a5ecbe23e6e92626a294aaee3e122bd3b705ade1d889c6f8cb686cfb8,,,,,,,,,,
