career_event_id,event_group_key,display_name,normalized_name,event_type,claim_type,organization_name,department,program_context,event_year,ten_year_trend_window,source_key,source_url,event_status,event_confidence,linkage_status,linkage_priority,trend_link_assurance_level,linkage_rationale,required_next_evidence,reconciliation_decision,reconciliation_required_next_evidence,current_trainee_match_count,current_trainee_match_keys,current_trainee_match_roles,current_trainee_match_programs,match_features
47,barbara a carr,Barbara A. Carr,barbara a carr,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
33,bridget durkin,"Bridget Durkin, MD, MBE",bridget durkin,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
4,christine ciunci,"Christine Ciunci, MD",christine ciunci,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
16,christopher a d avella,"Christopher A. D'Avella, MD",christopher a d avella,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
10,daniel j landsburg,"Daniel J. Landsburg, MD",daniel j landsburg,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
17,david m mintzer,"David M. Mintzer, MD",david m mintzer,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
36,denis hadjiliadis,"Denis Hadjiliadis, MD, PhD",denis hadjiliadis,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
7,douglas eric guggenheim,"Douglas Eric Guggenheim, MD",douglas eric guggenheim,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
14,edward a stadtmauer,"Edward A. Stadtmauer, MD",edward a stadtmauer,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Leadership Team - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_hematology_an_9c7dd893d1,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/hematology-and-oncology/about-us/leadership-team,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
30,emily chan,"Emily Chan, MD",emily chan,current_penn_attending_candidate,,University of Pennsylvania / Penn Medicine,Department of Medicine,Faculty and Administration - Penn Medicine,,unknown,penn_attending_departments_and_centers_department_of_medicine_divisions_program_in_pa_9180afb3e4,https://www3.pennmedicine.org/departments-and-centers/department-of-medicine/divisions/program-in-palliative-care/faculty-and-administration,candidate,0.55,current_attending_endpoint_unlinked,55,1,Current Penn attending/faculty endpoint candidate lacks linked Penn training-history evidence.,"Find profile, CV, employment-start, or training-history evidence before using as a trend endpoint.",current_attending_endpoint_candidate,Use as endpoint only after finding training-history or employment-start evidence.,0,,,,not_linked_to_existing_person; official_penn_faculty_page
