program_name,role,person_count,avg_coverage_score,broad_enrichment_surface_count,moderate_enrichment_surface_count,thin_enrichment_surface_count,profile_coverage_rate,contact_coverage_rate,medical_school_coverage_rate,residency_coverage_rate,article_candidate_coverage_rate,npi_candidate_coverage_rate,npi_needs_review_coverage_rate,cleaned_org_review_count,reconciliation_queue_count,top_recommended_next_action
Adult Congenital Heart Disease Fellowship,fellow,2,62.0,0,2,0,0.0,0.0,1.0,1.0,0.0,1.0,0.5,3,9,official_profile_search
Physical Medicine and Rehabilitation Residency,resident,22,62.36,2,20,0,0.727,0.0,1.0,0.0,0.227,0.909,0.864,12,88,organization_alias_review
Internal Medicine Residency - Healthcare Leadership in Quality Track,resident,25,63.0,2,23,0,0.8,0.0,1.0,0.0,0.2,0.84,0.76,11,175,organization_alias_review
Internal Medicine Residency,resident,173,63.02,9,159,5,0.728,0.0,0.988,0.0,0.283,0.838,0.798,75,1296,reconcile_high_priority_evidence
Hematology/Oncology Fellowship,fellow,32,63.03,2,30,0,0.0,0.0,1.0,1.0,0.094,0.281,0.25,30,55,official_profile_search
Internal Medicine Physician-Scientist Pathway,resident,15,63.4,0,15,0,0.6,0.0,1.0,0.0,0.333,0.8,0.733,3,110,official_profile_search
Interventional Cardiology Fellowship,fellow,4,64.75,1,3,0,0.0,0.0,1.0,1.0,0.25,0.5,0.5,6,19,official_profile_search
"Endocrinology, Diabetes and Metabolism Fellowship",fellow,21,64.95,1,20,0,0.143,0.0,1.0,1.0,0.238,0.286,0.19,27,49,official_profile_search
Clinical Cardiac Electrophysiology Fellowship,fellow,12,65.67,0,12,0,0.0,0.0,1.0,1.0,0.417,0.25,0.167,11,53,official_profile_search
Diagnostic Radiology Residency,resident,54,66.0,1,53,0,1.0,0.0,1.0,0.0,0.185,0.37,0.259,51,246,organization_alias_review
Family Medicine Residency,resident,35,66.03,5,29,1,1.0,0.0,0.971,0.0,0.257,0.886,0.8,9,156,reconcile_high_priority_evidence
General Surgery Residency,resident,75,66.67,22,46,7,0.867,0.0,0.92,0.013,0.36,0.773,0.72,61,464,organization_alias_review
Cardiovascular Disease Fellowship,fellow,33,67.15,2,31,0,0.0,0.0,1.0,1.0,0.424,0.485,0.485,25,156,official_profile_search
Urology Residency,resident,22,67.77,4,18,0,1.0,0.0,1.0,0.0,0.227,0.682,0.5,19,116,organization_alias_review
Vascular Surgery Integrated Residency,resident,9,67.78,1,8,0,1.0,0.0,1.0,0.0,0.111,0.889,0.889,7,45,organization_alias_review
Advanced Heart Failure Transplant Cardiology Fellowship,fellow,2,68.0,0,2,0,0.0,0.0,1.0,1.0,0.5,1.0,1.0,3,5,official_profile_search
Neurological Surgery Residency,resident,21,68.05,1,20,0,0.0,1.0,1.0,0.0,0.048,0.905,0.857,5,44,official_profile_search
Hospice and Palliative Medicine Fellowship,fellow,5,68.2,1,4,0,0.4,0.0,1.0,1.0,0.4,0.4,0.2,10,24,official_profile_search
Plastic Surgery Residency,resident,22,68.41,4,18,0,1.0,0.0,1.0,0.045,0.182,0.773,0.773,21,129,organization_alias_review
Advanced Gastroenterology and Hepatology Fellowship,fellow,2,69.0,0,2,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3,10,organization_alias_review
Craniofacial Surgery Fellowship,fellow,1,69.0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2,3,organization_alias_review
Cardiothoracic Surgery Residency,resident,15,69.2,3,12,0,1.0,0.0,1.0,0.0,0.267,0.8,0.8,15,104,organization_alias_review
Orthopedic Surgery Residency,resident,40,69.72,11,29,0,0.95,0.0,1.0,0.0,0.375,0.75,0.675,32,269,organization_alias_review
Medical Scientist Training Program,medical_student,225,69.96,56,169,0,1.0,0.911,0.0,0.0,0.267,0.0,0.0,0,1350,monitor_refresh_and_diff
Interventional Radiology Integrated Residency,resident,19,71.0,4,15,0,1.0,0.0,1.0,0.0,0.421,0.368,0.316,6,124,reconcile_high_priority_evidence
Microvascular Reconstructive Surgery Fellowship,fellow,5,71.6,4,0,1,0.8,0.0,0.8,0.8,0.8,0.8,0.4,7,59,organization_alias_review
Nephrology Fellowship,fellow,22,71.91,6,16,0,0.545,0.0,1.0,1.0,0.5,0.636,0.591,39,155,organization_alias_review
Colon and Rectal Surgery Fellowship,fellow,1,72.0,0,1,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1,5,organization_alias_review
Neuroradiology Fellowship,fellow,11,72.09,2,9,0,1.0,0.0,1.0,0.909,0.091,0.455,0.273,13,59,organization_alias_review
Thoracic Surgery Fellowship - Cardiac Track,fellow,4,72.25,1,3,0,1.0,0.0,1.0,1.0,0.25,0.0,0.0,7,24,organization_alias_review
Allergy and Immunology Fellowship,fellow,4,72.5,1,3,0,0.0,1.0,1.0,1.0,0.25,0.75,0.75,7,24,official_profile_search
Transplant Surgery Fellowship,fellow,3,72.67,1,2,0,1.0,0.0,1.0,1.0,0.0,0.667,0.667,4,14,organization_alias_review
Obstetrics and Gynecology Residency,resident,32,72.81,12,20,0,1.0,0.0,1.0,0.0,0.406,0.875,0.812,13,215,reconcile_high_priority_evidence
Abdominal Imaging Fellowship,fellow,9,73.0,2,7,0,1.0,0.0,1.0,1.0,0.222,0.444,0.444,19,41,organization_alias_review
Advanced Musculoskeletal Fellowship,fellow,3,73.0,0,3,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6,18,organization_alias_review
Advanced Nuclear Radiology Fellowship,fellow,1,73.0,0,1,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1,5,organization_alias_review
Gastroenterology and Hepatology Fellowship,fellow,23,73.0,7,16,0,0.957,0.0,1.0,1.0,0.13,0.565,0.565,29,128,organization_alias_review
Oncologic Imaging Fellowship,fellow,1,73.0,0,1,0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2,4,organization_alias_review
Pulmonary and Critical Care Fellowship,fellow,34,73.0,13,21,0,0.0,1.0,1.0,1.0,0.265,0.588,0.5,34,100,official_profile_search
Rheumatology Fellowship,fellow,15,74.07,4,11,0,1.0,0.0,1.0,1.0,0.267,0.667,0.533,32,138,organization_alias_review
Cardiothoracic Fellowship,fellow,1,79.0,1,0,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2,7,organization_alias_review
Infectious Diseases Fellowship,fellow,15,80.27,12,3,0,0.533,1.0,1.0,1.0,0.467,0.667,0.467,32,103,organization_alias_review
Nuclear Radiology Fellowship,fellow,2,81.0,2,0,0,1.0,0.0,1.0,1.0,1.0,0.5,0.5,4,21,organization_alias_review
Internal Medicine Residency - Global Health Equities Track,fellow,2,82.5,2,0,0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4,18,review_training_state_machine
